"Travel motives";"Population";"Trip characteristics";"Margins";"Periods";"Region characteristics";"Average per person per day/Trips (number)";"Average per person per day/Distance travelled                       (passenger kilometres )";"Average per person per day/Time travelled                           (minutes)"
"Total";"Population 6 years or older";"Total";"Value";"2023";"The Netherlands";2,72;31,97;73,51
"Total";"Population 6 years or older";"Sunday";"Value";"2023";"The Netherlands";2;29,09;68,34
"Total";"Population 6 years or older";"Monday";"Value";"2023";"The Netherlands";2,73;30,63;71,33
"Total";"Population 6 years or older";"Tuesday";"Value";"2023";"The Netherlands";2,83;32,19;74,38
"Total";"Population 6 years or older";"Wednesday";"Value";"2023";"The Netherlands";2,92;32,81;75,27
"Total";"Population 6 years or older";"Thursday";"Value";"2023";"The Netherlands";2,9;33,54;77,21
"Total";"Population 6 years or older";"Friday";"Value";"2023";"The Netherlands";2,93;31,96;72,46
"Total";"Population 6 years or older";"Saturday";"Value";"2023";"The Netherlands";2,71;33,62;75,66
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"2023";"The Netherlands";0,44;7,98;12,73
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Sunday";"Value";"2023";"The Netherlands";0,1;1,3;2,31
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Monday";"Value";"2023";"The Netherlands";0,57;10,67;16,96
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Tuesday";"Value";"2023";"The Netherlands";0,61;12,08;18,86
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Wednesday";"Value";"2023";"The Netherlands";0,55;10,55;16,79
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Thursday";"Value";"2023";"The Netherlands";0,59;11,46;18,01
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Friday";"Value";"2023";"The Netherlands";0,46;7,79;12,51
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Saturday";"Value";"2023";"The Netherlands";0,16;2,1;3,88
