Year,Trip characteristics,Average per person per day/Trips (number),Average per person per day/Distance travelled                       (passenger kilometres ),Average per person per day/Time travelled                           (minutes),Passenger car (driver),CarTrips
2018,Total,0.55,10.55,16.24,0.4909090909090909,0.27
2018,Sunday,0.12,1.51,2.65,0.4909090909090909,0.058909090909090904
2018,Monday,0.72,14.59,21.92,0.4909090909090909,0.35345454545454547
2018,Tuesday,0.76,15.37,23.47,0.4909090909090909,0.3730909090909091
2018,Wednesday,0.69,13.65,20.88,0.4909090909090909,0.3387272727272727
2018,Thursday,0.71,13.82,21.55,0.4909090909090909,0.34854545454545455
2018,Friday,0.63,12.27,18.47,0.4909090909090909,0.30927272727272725
2018,Saturday,0.21,2.58,4.67,0.4909090909090909,0.10309090909090908
2019,Total,0.5,9.72,15.1,0.5,0.25
2019,Sunday,0.1,1.55,2.63,0.5,0.05
2019,Monday,0.66,13.04,20.06,0.5,0.33
2019,Tuesday,0.7,14.71,21.92,0.5,0.35
2019,Wednesday,0.65,12.29,19.37,0.5,0.325
2019,Thursday,0.66,13.47,20.26,0.5,0.33
2019,Friday,0.57,10.29,16.84,0.5,0.285
2019,Saturday,0.19,2.6,4.51,0.5,0.095
2020,Total,0.37,6.16,9.66,0.5135135135135135,0.18999999999999997
2020,Sunday,0.09,1.15,2.18,0.5135135135135135,0.04621621621621621
2020,Monday,0.47,7.68,12.35,0.5135135135135135,0.24135135135135133
2020,Tuesday,0.49,8.95,13.18,0.5135135135135135,0.2516216216216216
2020,Wednesday,0.45,8.24,12.58,0.5135135135135135,0.23108108108108108
2020,Thursday,0.48,8.08,12.76,0.5135135135135135,0.24648648648648647
2020,Friday,0.44,7.15,11.1,0.5135135135135135,0.22594594594594594
2020,Saturday,0.17,1.78,3.34,0.5135135135135135,0.0872972972972973
2021,Total,0.37,6.13,9.59,0.5135135135135135,0.18999999999999997
2021,Sunday,0.09,1.25,2.18,0.5135135135135135,0.04621621621621621
2021,Monday,0.47,7.77,12.04,0.5135135135135135,0.24135135135135133
2021,Tuesday,0.5,9.08,13.58,0.5135135135135135,0.25675675675675674
2021,Wednesday,0.49,8.53,13.29,0.5135135135135135,0.2516216216216216
2021,Thursday,0.48,8.07,12.39,0.5135135135135135,0.24648648648648647
2021,Friday,0.4,6.27,10.13,0.5135135135135135,0.20540540540540542
2021,Saturday,0.17,1.93,3.51,0.5135135135135135,0.0872972972972973
2022,Total,0.42,7.4,11.74,0.5,0.21
2022,Sunday,0.1,1.26,2.31,0.5,0.05
2022,Monday,0.56,10.1,15.85,0.5,0.28
2022,Tuesday,0.59,10.83,17.16,0.5,0.295
2022,Wednesday,0.51,9.7,15.01,0.5,0.255
2022,Thursday,0.57,10.53,16.35,0.5,0.285
2022,Friday,0.44,7.45,12.04,0.5,0.22
2022,Saturday,0.18,2.01,3.61,0.5,0.09
2023,Total,0.44,7.98,12.73,0.47727272727272724,0.21
2023,Sunday,0.1,1.3,2.31,0.47727272727272724,0.04772727272727273
2023,Monday,0.57,10.67,16.96,0.47727272727272724,0.2720454545454545
2023,Tuesday,0.61,12.08,18.86,0.47727272727272724,0.2911363636363636
2023,Wednesday,0.55,10.55,16.79,0.47727272727272724,0.2625
2023,Thursday,0.59,11.46,18.01,0.47727272727272724,0.28159090909090906
2023,Friday,0.46,7.79,12.51,0.47727272727272724,0.21954545454545454
2023,Saturday,0.16,2.1,3.88,0.47727272727272724,0.07636363636363636
