"Travel motives";"Population";"Trip characteristics";"Margins";"Periods";"Region characteristics";"Average per person per day/Trips (number)";"Average per person per day/Distance travelled                       (passenger kilometres )";"Average per person per day/Time travelled                           (minutes)"
"Total";"Population 6 years or older";"Total";"Value";"2022";"The Netherlands";2,7;30,21;72,69
"Total";"Population 6 years or older";"Sunday";"Value";"2022";"The Netherlands";1,98;28,98;70,36
"Total";"Population 6 years or older";"Monday";"Value";"2022";"The Netherlands";2,73;28,41;68,56
"Total";"Population 6 years or older";"Tuesday";"Value";"2022";"The Netherlands";2,82;29,72;72,62
"Total";"Population 6 years or older";"Wednesday";"Value";"2022";"The Netherlands";2,87;30,14;74,73
"Total";"Population 6 years or older";"Thursday";"Value";"2022";"The Netherlands";2,86;32,33;74,8
"Total";"Population 6 years or older";"Friday";"Value";"2022";"The Netherlands";2,93;30,77;73,31
"Total";"Population 6 years or older";"Saturday";"Value";"2022";"The Netherlands";2,69;31,12;74,4
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Total";"Value";"2022";"The Netherlands";0,42;7,4;11,74
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Sunday";"Value";"2022";"The Netherlands";0,1;1,26;2,31
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Monday";"Value";"2022";"The Netherlands";0,56;10,1;15,85
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Tuesday";"Value";"2022";"The Netherlands";0,59;10,83;17,16
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Wednesday";"Value";"2022";"The Netherlands";0,51;9,7;15,01
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Thursday";"Value";"2022";"The Netherlands";0,57;10,53;16,35
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Friday";"Value";"2022";"The Netherlands";0,44;7,45;12,04
"Travel to/from work, (non)-daily commute";"Population 6 years or older";"Saturday";"Value";"2022";"The Netherlands";0,18;2,01;3,61
