NLSitNummer;DatumFileBegin;DatumFileEind;TijdFileBegin;TijdFileEind;FileZwaarte;GemLengte;FileDuur;HectometerKop;HectometerStaart;RouteLet;RouteNum;RouteOms;hectometreringsrichting;KopWegvakVan;KopWegvakNaar;TrajVan;TrajNaar;OorzaakGronddetail;OorzaakVerloop;OorzaakCodeVerloop;OorzaakCode;Oorzaak_1;Oorzaak_2;Oorzaak_3;Oorzaak_4
2360887;2018-06-08;2018-06-08;21:27:00;21:43:21;32,700;2000,000;16,350;71,8;66,2;A;15;A15;oplopend;Ridderkerk-Zuid;Hendrik-Ido-Ambacht;Ridderkerk;Gorinchem;Wegwerkzaamheden;[Geen oorzaakcode opgegeven door VWM 0], [Wegwerkzaamheden 16], [Geen oorzaakcode opgegeven door VWM 0];[000], [RWK], [000];RWK;Wegwerkzaamheden;Werkzaamheden;Werkzaamheden;Aanleg en gepland onderhoud
2360891;2018-06-08;2018-06-08;21:49:00;22:18:04;58,133;2000,000;29,067;71,8;66,2;A;15;A15;oplopend;Ridderkerk-Zuid;Hendrik-Ido-Ambacht;Ridderkerk;Gorinchem;Wegwerkzaamheden;[Geen oorzaakcode opgegeven door VWM 0], [Wegwerkzaamheden 29];[000], [RWK];RWK;Wegwerkzaamheden;Werkzaamheden;Werkzaamheden;Aanleg en gepland onderhoud
2360465;2018-06-08;2018-06-08;15:57:00;18:49:08;494,650;2873,645;172,133;21,6;18,6;A;44;A44;oplopend;Leiden-Zuid;Wassenaar;Amsterdam;Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 172];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2362841;2018-06-13;2018-06-13;16:14:00;18:09:38;231,267;2000,000;115,633;21,0;19,0;A;44;A44;oplopend;Leiden-Zuid;Wassenaar;Amsterdam;Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 116];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2364686;2018-06-15;2018-06-15;16:42:00;18:30:44;217,467;2000,000;108,733;21,5;19,5;A;44;A44;oplopend;Leiden-Zuid;Wassenaar;Amsterdam;Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 109];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2365683;2018-06-19;2018-06-19;7:57:00;8:55:36;117,200;2000,000;58,600;21,0;19,0;A;44;A44;oplopend;Leiden-Zuid;Wassenaar;Amsterdam;Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 59];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2357220;2018-06-04;2018-06-04;14:30:00;15:11:58;170,717;4067,911;41,967;10,2;5,2;A;76;A76;oplopend;Schinnen;Nuth;Geleen;Aken;Ophoogscript;[Ophoogscript 42];[YDP];YDP;Ophoogscript;Werkzaamheden gevonden door WiFi-script;Werkzaamheden;Aanleg en gepland onderhoud
2359599;2018-06-07;2018-06-07;16:22:00;17:34:29;183,683;2534,146;72,483;21,6;19,6;A;44;A44;oplopend;Leiden-Zuid;Wassenaar;Amsterdam;Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 72];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2357998;2018-06-05;2018-06-05;16:06:00;18:47:08;468,500;2907,530;161,133;21,6;18,6;A;44;A44;oplopend;Leiden-Zuid;Wassenaar;Amsterdam;Den Haag;Spitsfile (met ongeval);[Geen oorzaakcode opgegeven door VWM 112], [Ongeval(len) 49];[000], [ACI];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2358328;2018-06-05;2018-06-05;17:45:00;17:47:38;10,533;4000,000;2,633;11,0;15,0;A;76;A76;aflopend;Nuth;Schinnen;Aken;Geleen;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2356115;2018-06-01;2018-06-01;15:35:00;18:55:25;557,683;2782,620;200,417;21,5;19,5;A;44;A44;oplopend;Leiden-Zuid;Wassenaar;Amsterdam;Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 200];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2357753;2018-06-05;2018-06-05;8:02:00;8:43:32;83,067;2000,000;41,533;21,6;19,6;A;44;A44;oplopend;Leiden-Zuid;Wassenaar;Amsterdam;Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 42];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2361979;2018-06-12;2018-06-12;7:51:00;8:13:22;44,733;2000,000;22,367;199,0;197,0;A;28;A28;oplopend;Haren;Groningen-Zuid;Assen;Groningen;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 22];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2366818;2018-06-21;2018-06-21;8:47:00;8:56:01;18,033;2000,000;9,017;199,0;197,0;A;28;A28;oplopend;Haren;Groningen-Zuid;Assen;Groningen;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 9];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2356492;2018-06-01;2018-06-01;17:16:00;17:29:37;32,833;2411,261;13,617;10,4;13,4;A;76;A76;aflopend;Nuth;Schinnen;Aken;Geleen;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 14];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2355841;2018-06-01;2018-06-01;11:35:00;11:44:00;18,000;2000,000;9,000;11,0;13,0;A;76;A76;aflopend;Nuth;Schinnen;Aken;Geleen;Ophoogscript;[Ophoogscript 9];[YDP];YDP;Ophoogscript;Werkzaamheden gevonden door WiFi-script;Werkzaamheden;Aanleg en gepland onderhoud
2358715;2018-06-06;2018-06-06;16:13:00;16:51:13;76,433;2000,000;38,217;59,4;57,4;A;2;A2;oplopend;Leidsche Rijntunnel;Utrecht Papendorp;Amsterdam;'s-Hertogenbosch;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 38];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2358576;2018-06-06;2018-06-06;9:05:00;9:12:04;14,133;2000,000;7,067;59,4;57,4;A;2;A2;oplopend;Utrecht Papendorp;Oudenrijn;Amsterdam;'s-Hertogenbosch;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 7];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2358657;2018-06-06;2018-06-06;15:48:00;16:26:32;129,633;3364,187;38,533;59,0;57,0;A;2;A2;oplopend;Utrecht Papendorp;Oudenrijn;Amsterdam;'s-Hertogenbosch;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 39];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2363124;2018-06-13;2018-06-13;20:00:00;20:05:59;17,950;3000,000;5,983;43,0;40,0;A;4;A4;oplopend;Zoeterwoude-Dorp;Leidschendam;Amsterdam;Den Haag;Ophoogscript;[Ophoogscript 6];[YDP];YDP;Ophoogscript;Werkzaamheden gevonden door WiFi-script;Werkzaamheden;Aanleg en gepland onderhoud
2364600;2018-06-15;2018-06-15;16:17:00;16:24:05;14,167;2000,000;7,083;40,0;38,0;A;4;A4;oplopend;Zoeterwoude-Dorp;Leidschendam;Amsterdam;Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 7];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2362214;2018-06-12;2018-06-12;16:14:00;16:17:19;6,633;2000,000;3,317;14,7;12,7;N;14;N14;oplopend;Leidschendam;A4: Leidschendam;Den Haag;Leidschendam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 3];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2362684;2018-06-13;2018-06-13;7:21:00;7:40:03;42,100;2209,974;19,050;42,0;45,0;A;4;A4;aflopend;Leidschendam;Zoeterwoude-Dorp;Den Haag;Amsterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 19];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2364492;2018-06-15;2018-06-15;15:36:00;18:17:58;622,833;3845,441;161,967;42,0;44,0;A;4;A4;aflopend;Leidschendam;Zoeterwoude-Dorp;Den Haag;Amsterdam;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 162];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2365501;2018-06-18;2018-06-18;17:28:00;17:59:59;84,817;2651,902;31,983;40,0;38,0;A;4;A4;oplopend;Zoeterwoude-Dorp;Leidschendam;Amsterdam;Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 32];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2365388;2018-06-18;2018-06-18;15:54:00;17:10:46;246,600;3212,332;76,767;40,0;38,0;A;4;A4;oplopend;Zoeterwoude-Dorp;Leidschendam;Amsterdam;Den Haag;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 77];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
2367477;2018-06-22;2018-06-22;13:18:00;13:25:58;15,933;2000,000;7,967;40,0;38,0;A;4;A4;oplopend;Zoeterwoude-Dorp;Leidschendam;Amsterdam;Den Haag;Ophoogscript;[Ophoogscript 8];[YDP];YDP;Ophoogscript;Werkzaamheden gevonden door WiFi-script;Werkzaamheden;Aanleg en gepland onderhoud
2355807;2018-06-01;2018-06-01;10:00:00;10:37:16;130,900;3512,522;37,267;196,8;193,8;A;7;A7;oplopend;Martini Ziekenhuis;Groningen-West;Heerenveen;Groningen;Ongeval vrachtwagen (met defecte vrachtauto);[Ongeval(len) 2], [Ongeval met vrachtwagen(s) 2], [Defecte vrachtwagen(s) 17], [Eerder pechgeval 17];[ACI], [ACH], [HBD], [M13];ACH;Ongeval met vrachtwagen(s);Ongeval vrachtwagen;Ongeval;Ongeval
2357139;2018-06-04;2018-06-04;8:50:00;8:54:08;8,267;2000,000;4,133;6,6;4,6;A;76;A76;oplopend;Geleen;Spaubeek;Geleen;Aken;Spitsfile (geen oorzaak gemeld);[Geen oorzaakcode opgegeven door VWM 4];[000];001;Spitsfile (geen oorzaak gemeld);Geen oorzaak gemeld;Drukte;Hoge intensiteit
