NLSitNumber,StartDateJam,EndDateJam,StartTimeJam,EndTimeJam,HeavinessJam,AvgLength,DurationJam,HectrometreHead,HectrometreTail,RouteLet,RouteNum,RouteDescr,HectrometreDir,FromSection,ToSection,RouteFrom,RouteTo,CauseGroundDetail,CauseProgression,CauseCodeProgression,CauseCode,Cause_1,Cause_2,Cause_3,Cause_4
2394052,2018-08-31,2018-08-31,17:11:00,17:14:59,"11,950","3000,000","3,983","54,8","51,8",A,28,A28,ascending,Harderwijk,Elspeet,Amersfoort,Zwolle,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 4],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2393810,2018-08-31,2018-08-31,15:28:00,16:25:03,"121,133","2123,284","57,050","158,2","156,2",A,2,A2,ascending,Batadorp,De Hogt,Eindhoven,Maastricht-Noord,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 57],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2393964,2018-08-31,2018-08-31,16:32:00,16:38:00,"18,000","3000,000","6,000","90,1","87,1",A,73,A73,ascending,Haps,Cuijk,Maasbracht,Nijmegen,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 6],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2393781,2018-08-31,2018-08-31,15:08:00,15:23:53,"31,767","2000,000","15,883","31,2","33,2",A,20,A20,descending,Crooswijk,Rotterdam-Centrum,Gouda,Hoek van Holland,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 16],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2394091,2018-08-31,2018-08-31,17:25:00,17:32:02,"21,100","3000,000","7,033","207,3","204,3",A,50,A50,ascending,Apeldoorn,Apeldoorn-Noord,Arnhem,Emmeloord,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 7],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2394038,2018-08-31,2018-08-31,17:04:00,17:21:01,"37,050","2177,277","17,017","22,6","20,6",A,16,A16,ascending,Feijenoord,Ridderkerk-Noord,Rotterdam,Breda,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 17],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2393831,2018-08-31,2018-08-31,15:38:00,15:53:58,"31,933","2000,000","15,967","29,1","31,1",A,58,A58,descending,Brug Over Het Wilhelminakanaal Hm 20.7,Oirschot,Breda,Eindhoven,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 16],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2394028,2018-08-31,2018-08-31,17:00:00,17:01:58,"5,900","3000,000","1,967","63,8","60,8",A,6,A6,ascending,Almere-Buiten-Oost,Lelystad,Muiden,Lelystad,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 2],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2393801,2018-08-31,2018-08-31,15:20:00,15:20:37,"1,233","2000,000","0,617","86,4","88,4",A,15,A15,descending,Hardinxveld-Giessendam,Sliedrecht-Oost,Gorinchem,Ridderkerk,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 1],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2394174,2018-08-31,2018-08-31,17:51:00,17:54:56,"11,800","3000,000","3,933","63,8","60,8",A,6,A6,ascending,Almere-Buiten-Oost,Lelystad,Muiden,Lelystad,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 4],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2394060,2018-08-31,2018-08-31,17:13:00,17:32:02,"55,133","2896,673","19,033","159,4","162,4",N,2,N2,descending,Eindhoven-Centrum,Eindhoven-Airport,Leenderheide,Batadorp,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 19],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2394167,2018-08-31,2018-08-31,17:49:00,18:01:57,"25,900","2000,000","12,950","23,8","21,8",A,58,A58,ascending,Brug Over Het Wilhelminakanaal Hm 20.7,Moergestel,Eindhoven,Tilburg,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 13],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2393799,2018-08-31,2018-08-31,15:20:00,15:34:54,"41,567","2789,709","14,900","25,0","21,0",A,4,A4,ascending,Roelofarendsveen,Hoogmade,Amsterdam,Den Haag,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 15],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2394133,2018-08-31,2018-08-31,17:36:00,18:00:55,"54,783","2198,662","24,917","56,1","58,1",A,4,A4,descending,Gaag-Aquaduct,Den Hoorn,Rotterdam,Den Haag,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 25],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
2393879,2018-08-31,2018-08-31,15:59:00,16:01:58,"5,933","2000,000","2,967","83,9","81,9",A,2,A2,ascending,Culemborg,Beesd,Utrecht,'s-Hertogenbosch,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 3],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
