NLSitNumber,StartDateJam,EndDateJam,StartTimeJam,EndTimeJam,HeavinessJam,AvgLength,DurationJam,HectrometreHead,HectrometreTail,RouteLet,RouteNum,RouteDescr,HectrometreDir,FromSection,ToSection,RouteFrom,RouteTo,CauseGroundDetail,CauseProgression,CauseCodeProgression,CauseCode,Cause_1,Cause_2,Cause_3,Cause_4
3105107,2022-07-01,2022-07-01,14:15:27,16:21:01,"596,278","4749,000","125,567","40,0","38,0",N,57,N57,ascending,Port Zélande,Ellemeet,Ellemeet,Westenschouwen,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 126],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105206,2022-07-01,2022-07-01,14:36:27,15:58:00,"455,238","5582,000","81,550","85,0","80,0",A,15,A15,ascending,Sliedrecht-West,Sliedrecht-Oost,Ridderkerk,Gorinchem,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 82],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105298,2022-07-01,2022-07-01,14:50:27,15:17:00,"59,807","2253,000","26,550","127,1","129,2",A,12,A12,descending,Waterberg,Grijsoord,Arnhem,Utrecht,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 27],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105309,2022-07-01,2022-07-01,14:51:27,15:54:03,"365,638","5841,000","62,600","34,6","32,6",A,4,A4,ascending,Zoeterwoude-Rijndijk,Zoeterwoude-Dorp,Amsterdam,Den Haag,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 63],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105316,2022-07-01,2022-07-01,14:52:27,15:18:00,"101,888","3988,000","25,550","140,3","137,5",A,50,A50,ascending,Ravenstein,Maasbrug,Oss,Arnhem,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 26],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105317,2022-07-01,2022-07-01,14:52:27,15:11:01,"76,367","4113,000","18,567","96,1","98,3",A,7,A7,descending,Kornwerderzand,P Breezanddijk,Zurich,Den Oever,Rush hour jam (no cause mentioned) with gevonden werk in Spin,[Geen oorzaakcode opgegeven door VWM 19],[000],002,Spitsfile (geen oorzaak gemeld) met gevonden werk in Spin,Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105357,2022-07-01,2022-07-01,14:59:27,15:09:01,"33,122","3462,000","9,567","58,8","53,9",A,2,A2,ascending,Utrecht-Centrum,Leidsche Rijntunnel,Amsterdam,Utrecht,Rush hour jam (no cause mentioned) with gevonden werk in Spin,[Geen oorzaakcode opgegeven door VWM 10],[000],002,Spitsfile (geen oorzaak gemeld) met gevonden werk in Spin,Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105358,2022-07-01,2022-07-01,14:59:27,15:12:01,"37,300","2968,000","12,567","54,9","50,6",A,4,A4,ascending,Den Haag-Zuid,Den Hoorn,Den Haag,Rotterdam,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 13],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105359,2022-07-01,2022-07-01,14:59:27,15:04:00,"10,835","2381,000","4,550","98,4","100,9",A,6,A6,descending,Urk,Ketelbrug,Emmeloord,Lelystad,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 5],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105360,2022-07-01,2022-07-01,14:59:27,15:04:00,"10,080","2215,000","4,550","98,2","96,2",A,6,A6,ascending,Swifterbant,Ketelbrug,Lelystad,Emmeloord,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 5],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105362,2022-07-01,2022-07-01,15:00:27,15:03:00,"6,297","2469,000","2,550","172,9","170,5",A,2,A2,ascending,Leenderheide/Randweg N2,Valkenswaard,Eindhoven,Maastricht,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 3],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105385,2022-07-01,2022-07-01,15:03:27,15:12:41,"19,205","2080,000","9,233","115,5","113,5",A,73,A73,ascending,Beuningen,Ewijk,Maasbracht,Nijmegen,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 9],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105389,2022-07-01,2022-07-01,15:04:26,15:35:03,"72,147","2356,000","30,617","23,9","21,8",N,57,N57,ascending,Goedereede,Ouddorp,Stellendam,Ouddorp,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 31],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105390,2022-07-01,2022-07-01,15:05:27,15:50:04,"213,500","4785,000","44,617","54,9","50,1",A,1,A1,ascending,Barneveld,Voorthuizen,Amersfoort,Apeldoorn,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 45],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105391,2022-07-01,2022-07-01,15:05:27,15:10:03,"10,973","2386,000","4,600","136,1","138,4",A,12,A12,descending,Duiven,Westervoort,Duitse grens,Arnhem,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 5],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105393,2022-07-01,2022-07-01,15:05:27,15:08:00,"5,355","2100,000","2,550","28,6","22,6",A,28,A28,ascending,Hoevelaken,Hoevelaken,Amersfoort,Zwolle,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 3],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105422,2022-07-01,2022-07-01,15:11:26,15:13:01,"3,800","2400,000","1,583","59,6","57,2",A,2,A2,ascending,Utrecht-Centrum,Leidsche Rijntunnel,Amsterdam,Utrecht,Rush hour jam (no cause mentioned) with gevonden werk in Spin,[Geen oorzaakcode opgegeven door VWM 2],[000],002,Spitsfile (geen oorzaak gemeld) met gevonden werk in Spin,Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105424,2022-07-01,2022-07-01,15:11:26,15:15:02,"14,767","4102,000","3,600","25,9","29,9",A,67,A67,descending,Geldrop,Leenderheide/Randweg N2,Venlo,Eindhoven,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 4],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105425,2022-07-01,2022-07-01,15:13:48,16:31:34,"431,975","5555,000","77,767","115,5","104,6",A,73,A73,ascending,Beuningen,Ewijk,Maasbracht,Nijmegen,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 78],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105426,2022-07-01,2022-07-01,15:12:27,15:22:00,"21,728","2275,000","9,550","19,2","21,6",A,10,A10,descending,Amsterdam-Oud Zuid,Amsterdam-Rivierenbuurt,De Nieuwe Meer,Amstel,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 10],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105427,2022-07-01,2022-07-01,14:52:27,15:20:04,"48,227","1746,000","27,617","91,9","91,9",A,2,A2,ascending,Deil verbindingsweg A2 vanuit Utrecht,A15 richting Nijmegen,Utrecht,'s-Hertogenbosch,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 28],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105459,2022-07-01,2022-07-01,15:17:27,15:22:00,"9,693","2130,000","4,550","127,2","129,2",A,12,A12,descending,Waterberg,Grijsoord,Arnhem,Utrecht,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 5],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105460,2022-07-01,2022-07-01,15:17:27,15:23:00,"11,995","2161,000","5,550","13,1","15,1",A,12,A12,descending,Zoetermeer,Zoetermeer-Centrum,Utrecht,Den Haag,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 6],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105463,2022-07-01,2022-07-01,15:17:27,15:20:03,"6,760","2600,000","2,600","175,9","178,5",A,2,A2,descending,Valkenswaard,Leenderheide/Randweg N2,Maastricht,Eindhoven,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 3],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105464,2022-07-01,2022-07-01,15:17:27,15:32:00,"31,178","2143,000","14,550","184,5","186,7",A,2,A2,descending,Budel,Maarheeze,Maastricht,Eindhoven,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 15],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105465,2022-07-01,2022-07-01,15:17:27,15:27:01,"27,422","2866,000","9,567","31,1","34,7",A,20,A20,descending,Rotterdam-Crooswijk,Rotterdam-Schiebroek,Gouda,Hoek van Holland,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 10],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105506,2022-07-01,2022-07-01,15:25:27,15:27:01,"4,543","2900,000","1,567","86,8","83,9",A,2,A2,ascending,Beesd,Geldermalsen,Utrecht,'s-Hertogenbosch,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 2],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105507,2022-07-01,2022-07-01,15:25:27,15:27:01,"3,133","2000,000","1,567","82,5","80,5",A,2,A2,ascending,Culemborg,Beesd,Utrecht,'s-Hertogenbosch,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 2],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105508,2022-07-01,2022-07-01,15:25:27,15:38:01,"38,010","3025,000","12,567","143,4","141,2",A,50,A50,ascending,Bankhoef,Ewijk,Oss,Arnhem,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 13],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105510,2022-07-01,2022-07-01,15:25:27,15:43:00,"52,302","2980,000","17,550","98,1","95,9",A,6,A6,ascending,Swifterbant,Ketelbrug,Lelystad,Emmeloord,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 18],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105511,2022-07-01,2022-07-01,15:25:27,16:03:01,"126,083","3356,000","37,567","26,1","29,0",A,67,A67,descending,Geldrop,Leenderheide/Randweg N2,Venlo,Eindhoven,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 38],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105558,2022-07-01,2022-07-01,15:35:27,15:37:01,"3,917","2500,000","1,567","59,8","57,3",A,2,A2,ascending,Utrecht-Centrum,Leidsche Rijntunnel,Amsterdam,Utrecht,Rush hour jam (no cause mentioned) with gevonden werk in Spin,[Geen oorzaakcode opgegeven door VWM 2],[000],002,Spitsfile (geen oorzaak gemeld) met gevonden werk in Spin,Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105559,2022-07-01,2022-07-01,15:35:27,15:38:01,"5,982","2331,000","2,567","143,4","141,0",A,50,A50,ascending,Bankhoef,Ewijk,Oss,Arnhem,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 3],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105560,2022-07-01,2022-07-01,15:35:27,15:41:00,"13,805","2487,000","5,550","169,2","167,1",A,50,A50,ascending,Renkum,Grijsoord,Oss,Arnhem,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 6],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105561,2022-07-01,2022-07-01,15:35:27,15:39:01,"7,990","2240,000","3,567","42,1","44,3",A,73,A73,descending,Maasbree,Blerick,Nijmegen,Maasbracht,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 4],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105562,2022-07-01,2022-07-01,15:36:26,15:47:00,"4,330","410,000","10,567","63,0","63,0",A,12,A12,ascending,Lunetten verbindingsweg A12 vanuit Den Haag,A27 richting Breda,Den Haag,Utrecht,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 11],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105615,2022-07-01,2022-07-01,15:43:26,15:56:00,"28,427","2262,000","12,567","94,0","91,8",A,6,A6,ascending,Lelystad-Noord,Swifterbant,Lelystad,Emmeloord,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 13],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105616,2022-07-01,2022-07-01,15:43:26,15:45:03,"3,233","2000,000","1,617","42,2","44,2",A,73,A73,descending,Maasbree,Blerick,Nijmegen,Maasbracht,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 2],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
3105617,2022-07-01,2022-07-01,15:43:26,15:45:03,"3,718","2300,000","1,617","23,8","21,5",N,35,N35,ascending,Industriegebied De Zegge,Mariënheem,Zwolle,Almelo,Rush hour jam (no cause mentioned),[Geen oorzaakcode opgegeven door VWM 2],[000],001,Spitsfile (geen oorzaak gemeld),Geen oorzaak gemeld,Drukte,Hoge intensiteit
